genre,book_id,title_or_error
historical,,"General Error for 'historical': expected string or bytes-like object, got 'NoneType'"
action,27088872,Kingdom 16   ISBN : 4088777719 [Japanese Import]
adventure,19667076,Alone in the wilderness
anthropology,27555390,Exit Wounds How America's Guns Fuel Violence Across the Border
astronomy,27491344,The Adventures of the Magic School Bus
archaeology,13207226,Delaware prehistoric archaeology
architecture,,"API Error for 'architecture': {""status"":""failure"", ""code"":400,""message"":""Genre with name architecture not found.""}"
art,19238200,Medieval birds in the Sherborne missal
aviation,13615606,Balloons to jets
biography,27911782,Tawfiq Canaan
biology,14823460,Dictionary of microbiology and molecular biology
business,24603450,Start a Business in Illinois
chemistry,13349584,Organic structures from spectra.
children,,"API Error for 'children': {""status"":""failure"", ""code"":400,""message"":""Genre with name children not found.""}"
classics,24998214,Harry Potter The Complete Collection
contemporary,24293468,Fleabag : the Scriptures
cookbook,27087270,"Summer Cooking with Blue Apron : A Collection of Simple, Seasonal Recipes, Vol. 1"
crafts,13142178,101 tea towels unique designs with a variety of quick and easy techniques
crime,27604414,Backlash
dystopia,24106604,Legend and Prodigy
economics,24323412,Innovation Bureaucracies
education,27566922,"Elite Girls' Schooling, Social Class and Sexualised Popular Culture"
engineering,14855704,Civil Engineer's Illustrated Sourcebook
environment,18955212,Carbon Capture
erotica,27605688,Killing Spell
essay,18058686,Five Years of Fourth Genre
fairy tales,21767390,Cinderella
fantasy,27702342,Rick Riordan Presents It Lurks in the Night
fashion,13670622,Royal insignia
feminism,27571280,Woman Question in Jewish Studies
fiction,27961634,A little like Lily
finance,15634626,Elementary calculus of financial mathematics
folklore,27110108,"Scottish Folk-Lore and Folk Life - Studies in Race, Culture and Tradition"
food,27075642,Made in Taiwan Recipes and Stories from the Island Nation
gaming,,"API Error for 'gaming': {""status"":""failure"", ""code"":400,""message"":""Genre with name gaming not found.""}"
gardening,13224894,Making Most of Clematis
geography,,"API Error for 'geography': {""status"":""failure"", ""code"":400,""message"":""Genre with name geography not found.""}"
geology,16000848,The volcanic earth
graphic novel,27103646,Queen and Country nº 02/04
health,24388634,Doctor's Book of Home Remedies for Seniors
historical,27574566,Queens at War
historical fiction,20960708,Guilty of Honour
history,27232294,Grit and Ghosts
horror,27702342,Rick Riordan Presents It Lurks in the Night
how to,27109106,"Before and After the Book Deal A Writer's Guide to Finishing, Publishing, Promoting, and Surviving Your First Book"
humor,23629796,The King Is a Fink
inspirational,,"API Error for 'inspirational': {""status"":""failure"", ""code"":400,""message"":""Genre with name inspirational not found.""}"
journalism,14111044,Stylebook 2007
law,13372464,The Christian legal advisor
literary fiction,27564672,Sunflower Boys
literature,27081476,Tales from Beatrix Potter
magical realism,27578584,Raven Boys : (a Graphic Novel)
manga,13885088,"Dragon Hunter, Vol. 10"
martial arts,27104028,The Art of Ba Gua Zhang : Meditation ∗ Health ∗ Self-Defense ∗ Exercise ∗ Longevity ∗ Motion Science ∗ Philosophy of Living
mathematics,13381320,Counterexamples in probability and real analysis
medicine,,"API Error for 'medicine': {""status"":""failure"", ""code"":400,""message"":""Genre with name medicine not found.""}"
medieval,14338488,The Power of a Woman's Voice in Medieval and Early Modern Literatures
memoir,27612410,"Now Departing A Small-Town Mortician on Death, Life, and the Moments in Between"
mystery,27702342,Rick Riordan Presents It Lurks in the Night
mythology,16955098,American elves
nature,24650736,Cranes
nonfiction,28058112,The Foundations of Zionism
novel,21233052,Encore Conqueror
occult,19662060,Wheel of Small Gods
paranormal,23394094,Demonology And Witchcraft
parenting,13707552,The portable pediatrician's guide to kids
philosophy,28057066,Critique of impure reason horizons of possibility and meaning
physics,13043626,Classical Field Theory
picture book,27617408,Gray Squirrel Loses It!
poetry,27996304,A history of what I'll become
politics,24628800,Vindiciæ Gallicæ
programming,27064430,R Para Data Science
psychology,27098906,From Therapy to Life Mastery : Coaching as a Natural Next Step from Hypnotherapy
reference,27066720,"What Did They Mean By That? A Dictionary of Historical and Genealogical Terms, Old and New"
relationships,14808710,More Lasting Unions
religion,28046160,Chronicles of the martyrdom of Imam Husayn
romance,27605170,Last Lady B
science and technology,24718208,Violence in Francophone African and Caribbean women's literature
science fiction,27575252,Rule of Chaos
self help,27077592,The Just Girl Project Self-Love Journal
short stories,28005742,The best of Shonagh Koea's short stories
society,21410938,Divide
sociology,24663476,A Sociology of Work in Japan (Contemporary Japanese Society)
space,15842726,Back in Orbit
spirituality,24442378,"Becoming good, becoming holy"
sports,27558968,"Boxing's Greatest Controversies Blunders, Blood Feuds, and Mob Corruption"
text book,23904808,"Biology, a comprehensive text for New York State"
thriller,27604414,"Backlash"
travel,24706148,"Portugal, 5th (Cadogan Guides)"
true crime,14452466,"Abbeylara"
war,24526806,"EYES OF THE NIGHT"
writing,13060238,"The writer's mind"
young adult,22656830,"DeadEndia the Divine Order"
